,uid,appid,app_type,start_day,start_time,end_day,end_time,duration,up_flow,down_flow
0,13452,16,1,9,77067,9,77100,33,15975,13254
1,25361,92,1,9,76173,9,76346,172,2625414,46973
2,25361,92,1,9,76392,9,76401,9,0,0
3,25361,92,1,9,76435,9,77264,829,39109111,250407
4,20541,16,1,9,44323,9,44364,41,1174902,42023
5,20541,16,1,9,45072,9,45162,89,853162,52946
6,20541,16,1,9,48109,9,48253,144,1709633,133746
7,20541,16,1,9,49516,9,50310,794,21448596,325632
8,20541,75,1,9,56164,9,56317,153,2759886,94800
9,20541,75,1,9,56321,9,56958,637,7569724,232545
10,20541,75,1,9,57187,9,57189,2,12,12
11,16070,84,1,9,67651,9,67724,73,526160,29385
12,16070,84,1,9,67739,9,67746,6,2879,2496
13,16070,84,1,9,67838,9,67849,11,3047,3564
14,13499,16,1,9,51530,9,51604,73,12303420,126377
15,15377,16,1,9,59824,9,60302,478,5630100,84658
16,5843,16,1,9,72984,9,72988,3,0,0
17,5843,16,1,9,72988,9,73127,138,581160,41739
18,5843,16,1,9,73158,9,73435,277,940044,25788
19,5843,16,1,9,73905,9,74846,940,3134331,137785
20,5843,16,1,9,75798,9,75808,10,0,0
21,5843,16,1,9,76078,9,76096,18,186337,12548
22,2516,90,1,9,79265,9,79266,1,3847,2117
23,2516,90,1,9,79275,9,79276,1,14046,8753
24,2516,90,1,9,79280,9,79329,48,332186,71310
25,2516,90,1,9,82555,9,82556,1,0,1388
26,2516,90,1,9,82560,9,82600,40,101321,38080
27,2516,90,1,9,83354,9,83355,1,450,1321
28,2516,90,1,9,83360,9,83361,1,0,1959
29,2516,90,1,9,83365,9,83369,4,30551,16646
30,2516,90,1,9,83460,9,83461,1,216,1557
31,2516,90,1,9,83464,9,83504,40,6850,8880
32,2516,90,1,9,84368,9,84369,1,0,2021
33,2516,90,1,9,84375,9,84466,91,138380,84299
34,63,16,1,9,82621,9,82760,139,625142,150767
35,2109,44,1,9,69190,9,69197,6,0,0
36,18371,16,1,9,46548,9,46549,1,0,0
37,18955,16,1,9,73529,9,73741,211,5801500,104634
38,18955,16,1,9,74165,9,74318,152,2664721,62079
39,18955,16,1,9,74663,9,74769,105,1707467,109837
40,18955,90,1,9,74777,9,74833,56,818992,49178
41,18955,16,1,9,74835,9,75776,941,11302727,298725
42,18955,16,1,9,77414,9,79040,1625,17598156,342293
