"预测结果","真实结果"
12892657.783308009,0
13034266.466594676,33929319
13035821.84947377,199508
13035838.9332842,773303
13035839.120927118,7404859
13035839.122988125,0
13035839.123010762,15395746
13035839.123011012,0
13035839.123011013,24126
13035839.123011013,1049546
13035839.123011013,360784
13035839.123011013,18893491
13035839.123011013,2322574
13035839.123011013,20389178
13035839.123011013,1811436
13035839.123011013,766573
13035839.123011013,493756
13035839.123011013,7462569
13035839.123011013,223839
13035839.123011013,0
13035839.123011013,25922509
13035839.123011013,0
13035839.123011013,29496
13035839.123011013,79264
13035839.123011013,1698380
13035839.123011013,976620
13035839.123011013,0
13035839.123011013,0
13035839.123011013,11804121
13035839.123011013,4666474
13035839.123011013,961855
13035839.123011013,0
13035839.123011013,5611901
13035839.123011013,103090141
13035839.123011013,2540231
13035839.123011013,0
13035839.123011013,3734793
13035839.123011013,27388365
13035839.123011013,0
13035839.123011013,2089123
13035839.123011013,369501
13035839.123011013,0
13035839.123011013,317117
13035839.123011013,11560
13035839.123011013,2101473
13035839.123011013,0
13035839.123011013,0
13035839.123011013,0
13035839.123011013,790170
13035839.123011013,0
13035839.123011013,47174
13035839.123011013,12324420
13035839.123011013,1284248
13035839.123011013,0
13035839.123011013,548442
13035839.123011013,56344834
13035839.123011013,14923117
13035839.123011013,3178656
13035839.123011013,6640
13035839.123011013,17846205
13035839.123011013,462175
13035839.123011013,914476
13035839.123011013,4709279
13035839.123011013,49181511
13035839.123011013,13992812
13035839.123011013,0
13035839.123011013,0
13035839.123011013,3829557
13035839.123011013,6844961
13035839.123011013,15654248
13035839.123011013,0
13035839.123011013,15975568
13035839.123011013,105520485
13035839.123011013,40946700
13035839.123011013,7635296
13035839.123011013,13091920
13035839.123011013,0
13035839.123011013,4567334
13035839.123011013,5786204
13035839.123011013,20318962
13035839.123011013,3558391
13035839.123011013,809453
13035839.123011013,3986993
13035839.123011013,33707740
13035839.123011013,0
13035839.123011013,12235136
13035839.123011013,0
13035839.123011013,2608493
13035839.123011013,1009871
13035839.123011013,0
13035839.123011013,9914381
13035839.123011013,4624369
13035839.123011013,29892799
13035839.123011013,136018
13035839.123011013,0
13035839.123011013,31241115
13035839.123011013,0
13035839.123011013,6342037
13035839.123011013,0
13035839.123011013,343239
13035839.123011013,0
13035839.123011013,2321860
13035839.123011013,0
13035839.123011013,30595660
13035839.123011013,8515319
13035839.123011013,30432894
13035839.123011013,0
13035839.123011013,0
13035839.123011013,3319288
13035839.123011013,5871422
13035839.123011013,723388
13035839.123011013,0
13035839.123011013,65778
13035839.123011013,6220024
13035839.123011013,45144985
13035839.123011013,1992312
13035839.123011013,0
13035839.123011013,175376
13035839.123011013,3423945
13035839.123011013,0
13035839.123011013,0
13035839.123011013,149244
13035839.123011013,1887471
13035839.123011013,683512
13035839.123011013,42210270
13035839.123011013,0
13035839.123011013,11691627
13035839.123011013,89894
13035839.123011013,0
13035839.123011013,7453327
13035839.123011013,0
13035839.123011013,57567
13035839.123011013,0
13035839.123011013,0
13035839.123011013,9821359
13035839.123011013,0
13035839.123011013,26106857
